no,indikator_utama,hasil_2025,target_2026,catatan_lhe,rencana_aksi_desc,satuan,indikator_output,tw1,tw2,tw3,tw4,target_total,anggaran,keterangan,pic_koordinator,pic_pelaksana,kategori_tematik
6,Indeks Kualitas Kebijakan,87.4,87.5,"Rekomendasi: Peningkatan kualitas kebijakan pada dimensi perencanaan, implementasi, evaluasi dan transparansi dan partisipasi publik",5. Kebijakan dapat diimplementasikan secara efektif di lapangan,Persen,Laporan monitoring dan evaluasi,0,0,100,100,100,,,Biro Hukum dan Organisasi,,RB General
6,Indeks Kualitas Kebijakan,87.4,87.5,"Rekomendasi: Peningkatan kualitas kebijakan pada dimensi perencanaan, implementasi, evaluasi dan transparansi dan partisipasi publik",6. Apakah ada mekanisme pengawasan dan akuntabilitas dalam pelaksanaan kebijakan,Persen,"Laporan pengawasan, hasil audit kebijakan",0,0,100,100,100,,,Biro Hukum dan Organisasi,,RB General
6,Indeks Kualitas Kebijakan,87.4,87.5,"Rekomendasi: Peningkatan kualitas kebijakan pada dimensi perencanaan, implementasi, evaluasi dan transparansi dan partisipasi publik",7. Kebijakan dievaluasi untuk perbaikan berkelanjutan,Persen,"Laporan evaluasi tahunan, dokumen perubahan kebijakan",0,50,75,100,100,,,Biro Hukum dan Organisasi,,RB General
6,Indeks Kualitas Kebijakan,87.4,87.5,"Rekomendasi: Peningkatan kualitas kebijakan pada dimensi perencanaan, implementasi, evaluasi dan transparansi dan partisipasi publik",8. Kebijakan memiliki dampak yang terukur bagi masyarakat,Persen,"Data capaian indikator kebijakan, survei kepuasan masyarakat, survei yang dilakukan oleh lembaga independen",25,50,75,100,100,,,Biro Hukum dan Organisasi,,RB General
6,Indeks Kualitas Kebijakan,87.4,87.5,"Rekomendasi: Peningkatan kualitas kebijakan pada dimensi perencanaan, implementasi, evaluasi dan transparansi dan partisipasi publik",9. Kebijakan selaras dengan kebijakan lain yang relevan,Persen,Dokumen analisis keselarasan regulasi,25,50,75,100,100,,,Biro Hukum dan Organisasi,,RB General
6,Indeks Kualitas Kebijakan,87.4,87.5,"Rekomendasi: Peningkatan kualitas kebijakan pada dimensi perencanaan, implementasi, evaluasi dan transparansi dan partisipasi publik",10. Informasi kebijakan dapat diakses oleh publik,Persen,"Publikasi kebijakan di situs/media sosial resmi, media massa (advertorial)",25,50,75,100,100,,,Biro Hukum dan Organisasi,,RB General
6,Indeks Kualitas Kebijakan,87.4,87.5,"Rekomendasi: Peningkatan kualitas kebijakan pada dimensi perencanaan, implementasi, evaluasi dan transparansi dan partisipasi publik",11. Mekanisme bagi masyarakat untuk memberikan masukan atau mengajukan keberatan,Persen,"Kanal aduan masyarakat, dokumentasi tanggapan terhadap masukan publik",25,50,75,100,100,,,Biro Hukum dan Organisasi,,RB General
7,Indeks Reformasi Hukum,99,99.1,"Catatan: melebihi target
Rekomendasi: -",1. Tersedianya laporan penyusunan Peraturan Perundang-undangan dan produk hukum lainnya,Persen,"1. Laporan pengumpulan dan inventarisasi bahan/data dalam rangka harmonisasi Peraturan Perundang-undangan dan produk hukum lainnya
2. Laporan hasil harmonisasi Peraturan Perundang-undangan dan produk hukum lainnya
3. Laporan tersusunnya konsep dan perbaikan rancangan Peraturan Perundang-undangan dan produk hukum lainnya
4. Laporan proses pengundangan peraturan perundang-undangan",0,0,100,100,100,,,Biro Hukum dan Organisasi,Arcci Surya Adhitya Sriyantoro,RB General
7,Indeks Reformasi Hukum,99,99.1,"Catatan: melebihi target
Rekomendasi: -",2. Tersedianya laporan pembinaan Perancang Peraturan Perundang-undangan,Persen,"1. Pengembangan kompetensi Perancang Peraturan Perundang-undangan
2. Terlaksananya identifikasi kebutuhan pembinaan dan pengembangan kompetensi Perancang",0,0,100,100,100,,,Biro Hukum dan Organisasi,,RB General
7,Indeks Reformasi Hukum,99,99.1,"Catatan: melebihi target
Rekomendasi: -",3. Penyusunan laporan tindak lanjut hasil analisis dan evaluasi Peraturan Perundang-undangan,Persen,"1.Laporan pengumpulan dan inventarisasi Peraturan Perundang-undangan yang akan dianalisis dan dievaluasi
2. Laporan pengolahan dan analisis hasil evaluasi Peraturan Perundang-undangan
3. Laporan dan/atau rekomendasi tindak lanjut hasil analisis dan evaluasi Peraturan Perundang-undangan",0,0,100,100,100,,,Biro Hukum dan Organisasi,,RB General
7,Indeks Reformasi Hukum,99,99.1,"Catatan: melebihi target
Rekomendasi: -",4. Penyusunan Laporan Perencanaan Kebijakan,Persen,"1. Laporan pengumpulan dan inventarisasi Peraturan Perundang-undangan yang akan dianalisis dan dievaluasi
2. Persentase pengumpulan data dan informasi sebagai bahan pertimbangan hukum dan penyusunan naskah urgensi kebijakan",0,0,100,100,100,,,Biro Hukum dan Organisasi,,RB General
7,Indeks Reformasi Hukum,99,99.1,"Catatan: melebihi target
Rekomendasi: -",5. Tersedianya Laporan Implementasi Kebijakan,Persen,Persentase pengumpulan data dan informasi pelaksanaan kebijakan Persentase laporan monitoring dan evaluasi implementasi kebijakan,0,0,100,100,100,,,Biro Hukum dan Organisasi,,RB General
7,Indeks Reformasi Hukum,99,99.1,"Catatan: melebihi target
Rekomendasi: -",6. Penyusunan Laporan Evaluasi dan Keberlanjutan Kebijakan,Persen,"1. Laporan analisis dampak kebijakan
2. Laporan analisis/telaah keselarasan regulasi
3.  Laporan evaluasi dan rekomendasi keberlanjutan kebijakan
4. Laporan implementasi kebijakan",0,0,100,100,100,,,Biro Hukum dan Organisasi,,RB General
7,Indeks Reformasi Hukum,99,99.1,"Catatan: melebihi target
Rekomendasi: -",7. Terwujudnya Kualitas re-regulasi atau deregulasi berbagai Peraturan Perundangan-undangan dan produk hukum lainnya berdasarkan hasil reviu,Persen,"1. Terlaksananya pengumpulan data dan informasi dalam rangka Penyusunan Laporan analisis dan evaluasi Peraturan Perundang-undangan dan produk hukum lainnya
2. Terlaksananya analisis data dan informasi dalam rangka Penyusunan Laporan analisis dan evaluasi Peraturan Perundang-undangan dan produk hukum lainnya
3. Tersusunnya Laporan analisis dan evaluasi Peraturan Perundang-undangan dan produk hukum lainnya",0,0,100,100,100,,,Biro Hukum dan Organisasi,,RB General
7,Indeks Reformasi Hukum,99,99.1,"Catatan: melebihi target
Rekomendasi: -",8. Terwujudnya Database Peraturan Perundang-undangan yang lengkap dan handal,Persen,"1. Laporan pengelolaan dokumen dan informasi hukum yang lengkap dan akurat 
2. Laporan aksesbilitas terhadap dokumen dan informasi hukum
3. Laporan integrasi dan sinkronisasi dokumen hukum
4. Laporan pengembangan JDIH",0,0,100,100,100,,,Biro Hukum dan Organisasi,,RB General
7,Indeks Reformasi Hukum,99,99.1,"Catatan: melebihi target
Rekomendasi: -",9. Tersedianya Laporan Transparansi dan Partisipasi Publik,Persen,1. Penyusunan Laporan Transparansi dan 2. Partisipasi Publik (Penyuluhan Hukum),0,0,100,100,100,,,Biro Hukum dan Organisasi,,RB General
8,Tingkat Capaian Sistem Kerja untuk Penyederhaan Birokrasi,4,5,"Catatan: melebihi target
Rekomendasi: -",1. Publikasi pedoman Sistem dan Mekanisme Kerja,Persen,"1. Laporan reviu sistem dan mekanisme kerja
2. Bahan Publikasi pedoman sistem dan mekanisme kerja",0,0,50,100,100,,,Biro Hukum dan Organisasi,Atang Suhendi,RB General
8,Tingkat Capaian Sistem Kerja untuk Penyederhaan Birokrasi,4,5,"Catatan: melebihi target
Rekomendasi: -",2. Penyusunan/Reviu Peta Proses Bisnis,Persen,"1. Penyusunan peta proses Bisnis BPS
2. Penyusunan peta subproses, peta relasi dan  peta lintas fungsi",,,,,,,,Biro Hukum dan Organisasi,,RB General
8,Tingkat Capaian Sistem Kerja untuk Penyederhaan Birokrasi,4,5,"Catatan: melebihi target
Rekomendasi: -",2. melakukan penyusunan revisi pedoman penyusunan SOP di lingkungan BPS,Persen,1. Persentase Penyelesaian penyusunan revisi pedoman penyusunan SOP di lingkungan BPS,0,0,50,100,100,,,Biro Hukum dan Organisasi,,RB General
9,Persentase Penyederhaan Struktur Organisasi,100,100,"Catatan: melebihi target
Rekomendasi: -",1. Menyusun usulan penataan organisasi BPS,Persen,1. Persentase penyelesaian usulan penataan organisasi BPS dan instansi vertikal BPS,20,60,80,100,100,,,Biro Hukum dan Organisasi,Arif Rosyanto,RB General
9,Persentase Penyederhaan Struktur Organisasi,100,100,"Catatan: melebihi target
Rekomendasi: -",2. Menyusun usulan penataan organisasi instansi vertikal BPS,Persen,Persentase penyelesaian usulan penataan organisasi BPS dan instansi vertikal BPS,20,60,80,100,100,,,Biro Hukum dan Organisasi,,RB General
10,Tingkat Digitalisasi Arsip ,96.82,"96,82",1. Melaksanakan pemberkasan arsip pada aplikasi SRIKANDI baik naskah dinas masuk dan naskah dinas keluar terhadap seluruh naskah dinas di lingkungan unit pengolah Badan Pusat Statistik,1. Pemberkasan naskah dinas  pada aplikasi Srikandi ,Persen,Persentase pemberkasan naskah dinas pada aplikasi SRIKANDI,0.25,0.5,0.75,1,1,-,Pemberkasan (%) =  (Jumlah arsip yang diberkaskan / Jumlah arsip yang sudah ditutup) * 100%,Biro Umum dan Humas,Tri Purwanto,RB General
10,Tingkat Digitalisasi Arsip ,96.82,"96,82",2. Mengupayakan dan memastikan seluruh pengguna aplikasi  SRIKANDI untuk aktif membuka dan menggunakan aplikasi SRIKANDI ,2. Keaktifan seluruh akun dalam penggunaan aplikasi SRIKANDI,Persen,Persentase keaktifan seluruh akun dalam penggunaan aplikasi SRIKANDI,0.25,0.5,0.75,1,1,-,Keaktifan Akun (%) =  (Jumlah akun aktif / Jumlah seluruh akun SRIKANDI) * 100%,Biro Umum dan Humas,Tri Purwanto,RB General
10,Tingkat Digitalisasi Arsip ,96.82,"96,82",3. Menetapkan target alih media arsip di unit kearsipan I Badan Pusat Statistik,3. Pelaksanaan alih media arsip sesuai target,Persen,Persentase pelaksanaan alih media arsip sesuai target yang ditetapkan,0.25,0.5,0.75,1,1,-,Alih Media (%) =  (Jumlah realisasi alih media arsip / Jumlah target alih media arsip) * 100%,Biro Umum dan Humas,Tri Purwanto,RB General
11,Indeks Tata Kelola Pengadaan (ITKP),"90,07","90,07",1. Keterisian JF PPBJ belum memenuhi 100% namun sudah diatas 60%,"1. Pemenuhan Keterisian Formasi JF PPBJ baik melalui Pengangkatan Pertama, Perpindahan Jabatan Lainnya (PJL), maupun kenaikan Jenjang",Laporan,Jumlah laporan kegiatan Pemenuhan Keterisian Formasi JF PPBJ yang terlaksana sesuai rencana,1,2,3,4,4,Menggu nakan anggaran Pusdiklat,Laporan triwulanan mencakup kegiatan yang dilakukan dalam upaya pemenuhan keterisian formasi JF PPBJ,Biro Umum dan Humas,Ranny Puspitasari,RB General
11,Indeks Tata Kelola Pengadaan (ITKP),"90,07","90,07",2. Level Kematangan sudah mencapai 8/9 Level 3 (Proaktif). Lakukan Pembaruan bukti dukung untuk mencapai 9/9 Level 3 (Proaktif),2. Pemenuhan/Update Bukti Dukung dalam Rangka Pencapaian Kematangan UKPBJ Level 3 (Proaktif) dan PKP,Persen,Persentase Penyelesaian Pemenuhan Bukti Dukung dalam Rangka Pencapaian Kematangan UKPBJ Level 3 (Proaktif) yang diselesaikan berdasarkan hasil reviu LKPP,1,1,1,1,1,-,Penyelesaian bukti dukung hasil reviu (%) = (Jumlah bukti dukung hasil reviu yang telah diperbaiki/diupdate / Jumlah bukti dukung hasil reviu yang perlu diperbaiki/diupdate) * 100%,Biro Umum dan Humas,Ranny Puspitasari,RB General
11,Indeks Tata Kelola Pengadaan (ITKP),"90,07","90,07",3. Rekomendasi : Lakukan Persiapan Penilaian ITKP 2026 sesuai metode penilaian baru ,3. Pelaksanaan monitoring pemanfaatan Sistem Pengadaan Barang/Jasa ,Persen,Persentase kegiatan monitoring pemanfaatan sistem pengadaan yang terlaksana sesuai kebutuhan,0.4,0.6,0.8,1,1,-,Kegiatan Monitoring (%) = (Jumlah realisasi kegiatan monitoring / Jumlah target kegiatan monitoring )*100,Biro Umum dan Humas,Ranny Puspitasari,RB General
11,Indeks Tata Kelola Pengadaan (ITKP),"90,07","90,07",3. Rekomendasi : Lakukan Persiapan Penilaian ITKP 2026 sesuai metode penilaian baru ,4. Implementasi penyelenggaraan Clearing House Pengadaan sesuai dengan ketentuan,Dokumen,Jumlah dokumen SK Tim Clearing House yang terupdate,0,0,0,1,1,-,-,Biro Umum dan Humas,Ranny Puspitasari,RB General
12,Indikator Kinerja Pelaksanaan Anggaran (IKPA),"97,84","97,84","Catatan: Nilai IKPA yang digunakan pada Penilaian Reformasi Birokrasi Tahun 2025 merupakan nilai IKPA TA 2025 dengan tanggal cut off penilaian IKPA tahun 2025 adalah 23 Januari 2026.
Rekomendasi: Capaian IKPA sudah Sangat Baik. Satker dan K/L agar dapat mempertahankan dan meningkatkan capaian IKPA untuk tahun-tahun selanjutnya",1. Melakukan review DIPA secara periodik,Dokumen,Hasil reviu atas DIPA,1,2,3,4,4,0,,Biro Keuangan,Wuri Hariyati,RB General
12,Indikator Kinerja Pelaksanaan Anggaran (IKPA),"97,84","97,84","Catatan: Nilai IKPA yang digunakan pada Penilaian Reformasi Birokrasi Tahun 2025 merupakan nilai IKPA TA 2025 dengan tanggal cut off penilaian IKPA tahun 2025 adalah 23 Januari 2026.
Rekomendasi: Capaian IKPA sudah Sangat Baik. Satker dan K/L agar dapat mempertahankan dan meningkatkan capaian IKPA untuk tahun-tahun selanjutnya",2. Melakukan penyusunan rencana penarikan dana masing-masing jenis belanja,Dokumen,Tersedianya dokumen rencana penraikan dana,1,2,3,4,4,0,,Biro Keuangan,Wuri Hariyati,RB General
12,Indikator Kinerja Pelaksanaan Anggaran (IKPA),"97,84","97,84","Catatan: Nilai IKPA yang digunakan pada Penilaian Reformasi Birokrasi Tahun 2025 merupakan nilai IKPA TA 2025 dengan tanggal cut off penilaian IKPA tahun 2025 adalah 23 Januari 2026.
Rekomendasi: Capaian IKPA sudah Sangat Baik. Satker dan K/L agar dapat mempertahankan dan meningkatkan capaian IKPA untuk tahun-tahun selanjutnya",3. Melakukan monitoring penyerapan anggaran,Dokumen,Tersedianya dokumen monitoring realisasi anggaran,1,2,3,4,4,0,,Biro Keuangan,Wuri Hariyati,RB General
12,Indikator Kinerja Pelaksanaan Anggaran (IKPA),"97,84","97,84","Catatan: Nilai IKPA yang digunakan pada Penilaian Reformasi Birokrasi Tahun 2025 merupakan nilai IKPA TA 2025 dengan tanggal cut off penilaian IKPA tahun 2025 adalah 23 Januari 2026.
Rekomendasi: Capaian IKPA sudah Sangat Baik. Satker dan K/L agar dapat mempertahankan dan meningkatkan capaian IKPA untuk tahun-tahun selanjutnya",4. Melakukan monitoring belanja kontraktual dan penyelesaian tagihan,Dokumen,Tersedianya dokumen Monitoring Kontrak,1,2,3,4,4,0,,Biro Keuangan,Wuri Hariyati,RB General
12,Indikator Kinerja Pelaksanaan Anggaran (IKPA),"97,84","97,84","Catatan: Nilai IKPA yang digunakan pada Penilaian Reformasi Birokrasi Tahun 2025 merupakan nilai IKPA TA 2025 dengan tanggal cut off penilaian IKPA tahun 2025 adalah 23 Januari 2026.
Rekomendasi: Capaian IKPA sudah Sangat Baik. Satker dan K/L agar dapat mempertahankan dan meningkatkan capaian IKPA untuk tahun-tahun selanjutnya","5. Melakukan koordinasi antara Bendahara, Penanggungjawab kegiatan dan PPK terkait penggunaan UP dan TUP",Kegiatan,"Terlaksananya koordinasi antara PJK, PPK, dan BPP terkait pengelolaan UP / TUP",1,2,3,4,4,0,,Biro Keuangan,Wuri Hariyati,RB General
12,Indikator Kinerja Pelaksanaan Anggaran (IKPA),"97,84","97,84","Catatan: Nilai IKPA yang digunakan pada Penilaian Reformasi Birokrasi Tahun 2025 merupakan nilai IKPA TA 2025 dengan tanggal cut off penilaian IKPA tahun 2025 adalah 23 Januari 2026.
Rekomendasi: Capaian IKPA sudah Sangat Baik. Satker dan K/L agar dapat mempertahankan dan meningkatkan capaian IKPA untuk tahun-tahun selanjutnya",6. Membuat Surat Edaran mengenai langkah-langkah akhir tahun anggaran ,Dokumen,Tersedianya Surat Edaran Langkah-langkah Akhir Tahun,0,0,0,1,1,0,,Biro Keuangan,Wuri Hariyati,RB General
12,Indikator Kinerja Pelaksanaan Anggaran (IKPA),"97,84","97,84","Catatan: Nilai IKPA yang digunakan pada Penilaian Reformasi Birokrasi Tahun 2025 merupakan nilai IKPA TA 2025 dengan tanggal cut off penilaian IKPA tahun 2025 adalah 23 Januari 2026.
Rekomendasi: Capaian IKPA sudah Sangat Baik. Satker dan K/L agar dapat mempertahankan dan meningkatkan capaian IKPA untuk tahun-tahun selanjutnya",7. Menetapkan target dan penyampaian perhitungan capaian output dengan benar dan tepat waktu ,Persentase,Persentase terlaksananya penyampaian laporan target dan capaian output,25,50,75,100,100,0,,Biro Keuangan,Wuri Hariyati,RB General
13,Opini BPK,WTP,WTP,"Catatan: Nilai IKPA yang digunakan pada Penilaian Reformasi Birokrasi Tahun 2025 merupakan nilai IKPA TA 2025 dengan tanggal cut off penilaian IKPA tahun 2025 adalah 23 Januari 2026.
Rekomendasi: Capaian IKPA sudah Sangat Baik. Satker dan K/L agar dapat mempertahankan dan meningkatkan capaian IKPA untuk tahun-tahun selanjutnya",1. Menyusun dan Mengirimkan Laporan Keuangan BPS yang sesuai dengan Standar Akuntansi Pemerintahan secara tepat waktu,Dokumen,Jumlah Laporan Keuangan BPS yang sesuai dengan standar akuntansi pemerintahan yang  tersusun dan dikirim tepat waktu,1,2,3,4,4,0,,Biro Keuangan dan BMN,"Biro Keuangan dan BMN, Biro Perencanaan dan Kerjasama, Biro Hukum dan Organisasi, dan Inspektorat Utama",RB General
13,Opini BPK,WTP,WTP,"Catatan: Nilai IKPA yang digunakan pada Penilaian Reformasi Birokrasi Tahun 2025 merupakan nilai IKPA TA 2025 dengan tanggal cut off penilaian IKPA tahun 2025 adalah 23 Januari 2026.
Rekomendasi: Capaian IKPA sudah Sangat Baik. Satker dan K/L agar dapat mempertahankan dan meningkatkan capaian IKPA untuk tahun-tahun selanjutnya","2. Penyelesaian Menu To Do List, Rekonsiliasi, Monitoring, dan Daftar Rincian pada Aplikasi MonSAKTI tingkat Instansii pada BPS",Persentase,"Persentase Penyelesaian menu To Do List, Rekonsiliasi, Monitoring, Daftar Rincian pada MonSAKTI BPS",100,100,100,100,100,0,,Biro Keuangan dan BMN,Biro Keuangan dan BMN,RB General
13,Opini BPK,WTP,WTP,"Catatan: Nilai IKPA yang digunakan pada Penilaian Reformasi Birokrasi Tahun 2025 merupakan nilai IKPA TA 2025 dengan tanggal cut off penilaian IKPA tahun 2025 adalah 23 Januari 2026.
Rekomendasi: Capaian IKPA sudah Sangat Baik. Satker dan K/L agar dapat mempertahankan dan meningkatkan capaian IKPA untuk tahun-tahun selanjutnya",3. Penerapan Pengendalian Intern atas Pelaporan Keuangan (PIPK) TA 2026,Dokumen,Laporan Hasil Penilaian atas Penerapan PIPK = efektif,0,0,0,1,1,0,,Biro Keuangan dan BMN,Biro Keuangan dan BMN,RB General
13,Opini BPK,WTP,WTP,"Catatan: Nilai IKPA yang digunakan pada Penilaian Reformasi Birokrasi Tahun 2025 merupakan nilai IKPA TA 2025 dengan tanggal cut off penilaian IKPA tahun 2025 adalah 23 Januari 2026.
Rekomendasi: Capaian IKPA sudah Sangat Baik. Satker dan K/L agar dapat mempertahankan dan meningkatkan capaian IKPA untuk tahun-tahun selanjutnya",4. Pelaksanaan pembinaan dalam pelaporan keuangan tingkat wilayah dan satker dalam bentuk Workshop Penyusunan Laporan Keuangan,Kegiatan,Jumlah kegiatan pembinaan dalam pelaporan keuangan tingkat wilayah dan satker dalam bentuk Workshop Penyusunan Laporan Keuangan,1,0,0,0,1,0,,Biro Keuangan dan BMN,Biro Keuangan dan BMN,RB General
14,Indeks Pengelolaan Aset (IPA),3.68,3.68,"Catatan: -
Rekomendasi: Mempertahankan parameter dengan indeks 4 (Sangat Baik) dan meningkatkan capaian parameter dengan indeks di atas atau sama dengan 3 (Baik), yaitu parameter Tindak Lanjut Temuan pada LHP BPK atas LKPP terkait BMN, Realisasi PNBP di Bidang Pengelolaan Aset, Ketepatan Waktu dan Kelengkapan Dokumen dalam Penyampaian Laporan dan usulan RKBMN, Tindak lanjut BMN Rusak Berat","Dalam rangka memperoleh nilai IPA (minimal) sesuai target yang sudah ditetapkan, maka akan dilakukan beberapa hal sbb:",Presentase ,Persentase Pengelolaan BMN yang Akuntabel dan Produktif​,6.57,24.99,59.19,100,100,,,Biro Keuangan dan BMN ,Bagian Pengelolaan Barang Milik Negara,RB General
14,Indeks Pengelolaan Aset (IPA),3.68,3.68,"Catatan: -
Rekomendasi: Mempertahankan parameter dengan indeks 4 (Sangat Baik) dan meningkatkan capaian parameter dengan indeks di atas atau sama dengan 3 (Baik), yaitu parameter Tindak Lanjut Temuan pada LHP BPK atas LKPP terkait BMN, Realisasi PNBP di Bidang Pengelolaan Aset, Ketepatan Waktu dan Kelengkapan Dokumen dalam Penyampaian Laporan dan usulan RKBMN, Tindak lanjut BMN Rusak Berat",1. Optimalisasi tindak lanjut atas rekomendasi BPK,,,,,,,,,,,,RB General
14,Indeks Pengelolaan Aset (IPA),3.68,3.68,"Catatan: -
Rekomendasi: Mempertahankan parameter dengan indeks 4 (Sangat Baik) dan meningkatkan capaian parameter dengan indeks di atas atau sama dengan 3 (Baik), yaitu parameter Tindak Lanjut Temuan pada LHP BPK atas LKPP terkait BMN, Realisasi PNBP di Bidang Pengelolaan Aset, Ketepatan Waktu dan Kelengkapan Dokumen dalam Penyampaian Laporan dan usulan RKBMN, Tindak lanjut BMN Rusak Berat","2. Perbaikan pengelolaan PNBP, terutama dari sisi penetapan estimasi PNBP yang berasal dari pengelolan BMN",,,,,,,,,,,,RB General
14,Indeks Pengelolaan Aset (IPA),3.68,3.68,"Catatan: -
Rekomendasi: Mempertahankan parameter dengan indeks 4 (Sangat Baik) dan meningkatkan capaian parameter dengan indeks di atas atau sama dengan 3 (Baik), yaitu parameter Tindak Lanjut Temuan pada LHP BPK atas LKPP terkait BMN, Realisasi PNBP di Bidang Pengelolaan Aset, Ketepatan Waktu dan Kelengkapan Dokumen dalam Penyampaian Laporan dan usulan RKBMN, Tindak lanjut BMN Rusak Berat","3. Memenuhi kewajiban dalam hal penyampaian Laporan, baik dari sisi ketepatan waktu penyampaian maupun kelengkapan laporan",,Persentase Kepatuhan Pengelolaan BMN terhadap Peraturan Perundang-undangan,64,78,83,100,100,,,,,RB General
14,Indeks Pengelolaan Aset (IPA),3.68,3.68,"Catatan: -
Rekomendasi: Mempertahankan parameter dengan indeks 4 (Sangat Baik) dan meningkatkan capaian parameter dengan indeks di atas atau sama dengan 3 (Baik), yaitu parameter Tindak Lanjut Temuan pada LHP BPK atas LKPP terkait BMN, Realisasi PNBP di Bidang Pengelolaan Aset, Ketepatan Waktu dan Kelengkapan Dokumen dalam Penyampaian Laporan dan usulan RKBMN, Tindak lanjut BMN Rusak Berat",4. Monitoring Pelaksanaan proses Penghapusan dan Penetapan Status BMN,,Persentase Pengawasan dan Pengendalian yang Efektif​,23,45,75,100,100,,,,,RB General
14,Indeks Pengelolaan Aset (IPA),3.68,3.68,"Catatan: -
Rekomendasi: Mempertahankan parameter dengan indeks 4 (Sangat Baik) dan meningkatkan capaian parameter dengan indeks di atas atau sama dengan 3 (Baik), yaitu parameter Tindak Lanjut Temuan pada LHP BPK atas LKPP terkait BMN, Realisasi PNBP di Bidang Pengelolaan Aset, Ketepatan Waktu dan Kelengkapan Dokumen dalam Penyampaian Laporan dan usulan RKBMN, Tindak lanjut BMN Rusak Berat",5. Optimalisasi sertifikasi tanah negara yang sudah ditetapkan.,,Persentase Administrasi BMN yang Andal ​,41.59,60.36,79.15,99.63,99.63,,,,,RB General
15,Indeks BerAKHLAK,78.58,81,Catatan: Kategori sehat,1. Koordinasi dengan Kementerian PAN RB tentang pengukuran Indeks Berakhlak ,Persen,Tingkat implementasi core value Berakhlak,0,0,0,100,100,,,Biro SDM,Biro SDM,RB General
16,Indeks Sistem Merit,336,340,Catatan: 2024,"1. Melakukan assessment terhadap seluruh pegawai sesuai dengan standar kompetensi jabatan, dan penyusunan profil pegawai berdasarkan kompetensi/talenta dan diperbarui secara berkala",Persen,Persentase pegawai yang telah mengikuti asesmen kompetensi,0,0,50,100,100,,,Biro SDM,Biro SDM,RB General
16,Indeks Sistem Merit,336,340,Catatan: 2024,2. Menyempurnakan serta melengkapi  penyusunan talent pool untuk seluruh  pegawai di dalam aplikasi Manajemen Talenta  berpedoman pada Peraturan Menteri  Pendayagunaan Aparatur Negara dan Reformasi Birokrasi Nomor 3 Tahun 2020 tentang Manajemen Talenta Aparatur Sipil Negara,Persen,persentase penyusunan talent pool untuk seluruh pegawai,0,0,50,100,100,,,Biro SDM,Biro SDM,RB General
16,Indeks Sistem Merit,336,340,Catatan: 2024,3. Menyempurnakan penyusunan dokumen kesenjangan kualifikasi dan kesenjangan kompetensi untuk seluruh pegawai yang diperbarui secara berkala di dalam aplikasi Manajemen Talenta,Persen,Tingkat Kesenjangan Kualifikasi dan Kompetensi,0,0,0,100,100,,,Biro SDM,Biro SDM,RB General
16,Indeks Sistem Merit,336,340,Catatan: 2024,"4. Mengoptimalisasi program dan/atau strategi pengembangan kompetensi pegawai dalam bentuk klasikal dan non klasikal, yang berbasis pada kesenjangan kompetensi kualifikasi dan kinerja pegawai, dengan berpedoman pada Peraturan  Lembaga Administrasi Negara Nomor 10 Tahun 2018 tentang Pengembangan Kompetensi Pegawai Negeri Sipil.",Persen,Tingkat pengembangan kompetensi pegawai,0,50,75,100,100,,,Biro SDM,Biro SDM,RB General
16,Indeks Sistem Merit,336,340,Catatan: 2024,5. Melaksanakan strategi untuk mengatasi permasalahan kinerja untuk seluruh pegawai secara berkala. ,Persen,Tingkat Penyelesaian Permasalahan Kinerja ,0,0,50,100,100,,,Biro SDM,Biro SDM,RB General
16,Indeks Sistem Merit,336,340,Catatan: 2024,6. Melaksanakan  pemberian penghargaan kepada pegawai berprestasi sesuai dengan peraturan yang berlaku secara konsisten; ,Persen,Tingkat pelaksanaan pemberian penghargaan pegawai,0,0,50,100,100,,,Biro SDM,Biro SDM,RB General
17,Indeks Pelayanan Publik (IPP),4.92,4.85,"Catatan: -
Rekomendasi: Disampaikan melalui LHE yang disampaikan deputi pelayanan publik. ",1. Melakukan evaluasi kinerja pelayanan publik secara mandiri sesuai Standar KemenPANRB,-,Indeks Pelayanan Publik (IPP),1.18,4.58,4.67,4.85,4.85,- ,"Hasil tahun 2025 sebesar 4,92 menggunakan metode baru yang belum ada sosialisasi metode penghitungannya dari KemenPANRB.","Direktorat Diseminasi, Pemberdayaan dan Evaluasi Penyelenggaraan Statistik","Direktorat Diseminasi, Pemberdayaan dan Evaluasi Penyelenggaraan Statistik",RB General
17,Indeks Pelayanan Publik (IPP),4.92,4.85,"Catatan: -
Rekomendasi: Disampaikan melalui LHE yang disampaikan deputi pelayanan publik. ",2. Mengimplementasikan sistem manajemen mutu ISO 9001:2015 pada Pelayanan Statistik Terpadu BPS,Persen,Persentase penyelesaian aktivitas perbaikan sistem manajemen mutu ISO 9001:2015,40,70,100,100,100,32443517,-,"Direktorat Diseminasi, Pemberdayaan dan Evaluasi Penyelenggaraan Statistik","Direktorat Diseminasi, Pemberdayaan dan Evaluasi Penyelenggaraan Statistik",RB General
