kegiatan utama,indikator kegiatan utama,Rencana Aksi,output(Satuan),pic_pelaksana,target tw 1,target tw 2,target tw 3,target tw 4,capaian output tw 1,capaian output tw 2,capaian output tw 3,capaian output tw 4,status tw 1,status tw 2,status tw 3,status tw 4,Persentase Pencapaian Target
Pelaksanaan Core Values ASN,Indeks BerAKHLAK,1. Melakukan Benchmarking ke Kementerian/Lembaga yang memiliki Skor Index Berakhlak tinggi dan melakukan sosialisasi kepada Internal Pegawai BPS sebelum dilakukan penilaian/survei Berakhlak oleh Kemenpan RB,Persentase,Biro SDM,0,0,0.5,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Tercapai,Target Tercapai,0.75
Penguatan Upaya Pencegahan Korupsi,Survei Penilaian Integritas,1. Monitoring pelaksanaan rekomendasi hasil SPI 2024,Persen,Inspektorat Wilayah III,0,0.25,0.75,1,0,0.25,0.75,1,Tidak Ada Target,Target Tercapai,Target Tercapai,Target Tercapai,1
Penguatan Upaya Pencegahan Korupsi,Survei Penilaian Integritas,2. Koordinasi pelaksanaan SPI 2025,Persen,Inspektorat Wilayah III,0,0,0.75,1,0,0,1,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,1
Penguatan Upaya Pencegahan Korupsi,Survei Penilaian Integritas,3. Sosialisasi/public campaign/internalisasi/publikasi kegiatan anti korupsi,Persen,Inspektorat Wilayah III,0,0.25,0.75,1,0.5,0,1,1,Target Tercapai,Tidak Tercapai,Target Tercapai,Target Tercapai,0.75
Penguatan Upaya Pencegahan Korupsi,Survei Penilaian Integritas,4. Monitoring dan evaluasi program anti korupsi 2025,Persen,Inspektorat Wilayah III,0,0.25,0.5,1,0,0.5,0.75,1,Tidak Ada Target,Target Tercapai,Target Tercapai,Target Tercapai,1
Pelaksanaan Pelayanan Publik Prima,Survei Kepuasan Masyarakat,"1. Pengukuran kepuasan masyarakat terhadap
pelayanan publik",persen,DMIS,88.81,88.91,89.01,89.11,94.81,94.58,92.68,94.04,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,1
Pelaksanaan Pelayanan Publik Prima,Survei Kepuasan Masyarakat,c. Indikator Capaian Responden,persen,,0.25,0.5,0.75,1,0.24,0.68,10.466.666.666.666.600,120,Tidak Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,0.75
Pelaksanaan Tata Kelola Kebijakan Publik,Indeks Kualitas Kebijakan,1. Menyusun bahan sosialisasi Peraturan BPS Nomor 4 Tahun 2024 tentang Tata Kelola Kebijakan Publik.,Persen,Biro Humas dan Hukum,0,0,1,1,0,0,1,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,1
Pelaksanaan Tata Kelola Kebijakan Publik,Indeks Kualitas Kebijakan,2. Melakukan sosialisasi Peraturan BPS Nomor 4 Tahun 2024 tentang Tata Kelola Kebijakan Publik.,Persen,Biro Humas dan Hukum,0,0,1,1,0,0,0.5,1,Tidak Ada Target,Tidak Ada Target,Tidak Tercapai,Target Tercapai,0.75
Pelaksanaan Tata Kelola Kebijakan Publik,Indeks Kualitas Kebijakan,3. Melakukan koordinasi pengumpulan bukti dukung Indeks Kualitas Kebijakan.,Persen,Biro Humas dan Hukum,0,0,0.5,1,0,1,1,1,Tidak Ada Target,Target Tercapai,Target Tercapai,Target Tercapai,1
Pelaksanaan Tata Kelola Kebijakan Publik,Indeks Kualitas Kebijakan,4. Melakukan monitoring dan evaluasi kebijakan publik di lingkungan BPS.,Persen,Biro Humas dan Hukum,0,0,0.5,1,0,0,0.5,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,1
Pelaksanaan Tata Kelola Kebijakan Publik,Indeks Kualitas Kebijakan,5. Menyusun kebutuhan Jabatan Fungsional Analis Kebijakan di lingkungan BPS dan meminta rekomendasi kepada instansi pembina (LAN).,Persen,Biro Humas dan Hukum,0,0,0.5,1,0,0,0.5,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,1
Pelaksanaan Pembentukan Peraturan Perundangan-undangan,Indeks Reformasi Hukum,1. Menyusun bahan sosialisasi Peraturan BPS Nomor 5 Tahun 2025 tentang Tata Cara Pembentukan Peraturan BPS.,Persen,Biro Humas dan Hukum,0,0,1,1,0,0,1,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,1
Pelaksanaan Pembentukan Peraturan Perundangan-undangan,Indeks Reformasi Hukum,2. Melakukan sosialisasi Peraturan BPS Nomor 5 Tahun 2025 tentang Tata Cara Pembentukan Peraturan BPS.,Persen,Biro Humas dan Hukum,0,0,1,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Tercapai,Target Tercapai,0.75
Pelaksanaan Pembentukan Peraturan Perundangan-undangan,Indeks Reformasi Hukum,3. Melakukan koordinasi pengumpulan bukti dukung Indeks Reformasi Hukum.,Persen,Biro Humas dan Hukum,0,0,0.5,1,0,0,1,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,1
Pelaksanaan Pembentukan Peraturan Perundangan-undangan,Indeks Reformasi Hukum,4. Memutakhirkan dan mengembangkan Jaringan Dokumentasi dan Informasi Hukum BPS.,Persen,Biro Humas dan Hukum,0,0,0.5,1,0,0,0.5,0.5,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Tidak Tercapai,0.75
Pelaksanaan Pembentukan Peraturan Perundangan-undangan,Tingkat Capaian Sistem Kerja untuk Penyederhaan Birokrasi,1. Melakukan perbaikan dan pengembangan proses bisnis,Persen,Biro Humas dan Hukum,0,0,0.5,1,0,0,0.5,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,1
Pelaksanaan Pembentukan Peraturan Perundangan-undangan,Tingkat Capaian Sistem Kerja untuk Penyederhaan Birokrasi,2. melakukan penyusunan revisi pedoman penyusunan SOP di lingkungan BPS,Persen,Biro Humas dan Hukum,0,0,0.5,1,0,0,0.5,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,1
Pelaksanaan Pembentukan Peraturan Perundangan-undangan,Persentase Penyederhaan Struktur Organisasi,1. Menyusun usulan penataan organisasi BPS,Persen,Biro Humas dan Hukum,0.2,0.6,0.8,1,0.2,0.6,1,0,Target Tercapai,Target Tercapai,Target Tercapai,Tidak Tercapai,0.75
Pelaksanaan Pembentukan Peraturan Perundangan-undangan,Persentase Penyederhaan Struktur Organisasi,2. Menyusun usulan penataan organisasi instansi vertikal BPS,Persen,Biro Humas dan Hukum,0.2,0.6,0.8,1,0.2,0.6,1,0,Target Tercapai,Target Tercapai,Target Tercapai,Tidak Tercapai,0.75
