no,rencana_aksi_desc,satuan,indikator_output,periode_tw,target_penyelesaian
7,9. Tersedianya Laporan Transparansi dan Partisipasi Publik,Persen,1. Penyusunan Laporan Transparansi dan 2. Partisipasi Publik (Penyuluhan Hukum),tw2,0
7,1. Tersedianya laporan penyusunan Peraturan Perundang-undangan dan produk hukum lainnya,Persen,"1. Laporan pengumpulan dan inventarisasi bahan/data dalam rangka harmonisasi Peraturan Perundang-undangan dan produk hukum lainnya
2. Laporan hasil harmonisasi Peraturan Perundang-undangan dan produk hukum lainnya
3. Laporan tersusunnya konsep dan perbaikan rancangan Peraturan Perundang-undangan dan produk hukum lainnya
4. Laporan proses pengundangan peraturan perundang-undangan",tw3,100
7,2. Tersedianya laporan pembinaan Perancang Peraturan Perundang-undangan,Persen,"1. Pengembangan kompetensi Perancang Peraturan Perundang-undangan
2. Terlaksananya identifikasi kebutuhan pembinaan dan pengembangan kompetensi Perancang",tw3,100
7,3. Penyusunan laporan tindak lanjut hasil analisis dan evaluasi Peraturan Perundang-undangan,Persen,"1.Laporan pengumpulan dan inventarisasi Peraturan Perundang-undangan yang akan dianalisis dan dievaluasi
2. Laporan pengolahan dan analisis hasil evaluasi Peraturan Perundang-undangan
3. Laporan dan/atau rekomendasi tindak lanjut hasil analisis dan evaluasi Peraturan Perundang-undangan",tw3,100
7,4. Penyusunan Laporan Perencanaan Kebijakan,Persen,"1. Laporan pengumpulan dan inventarisasi Peraturan Perundang-undangan yang akan dianalisis dan dievaluasi
2. Persentase pengumpulan data dan informasi sebagai bahan pertimbangan hukum dan penyusunan naskah urgensi kebijakan",tw3,100
7,5. Tersedianya Laporan Implementasi Kebijakan,Persen,Persentase pengumpulan data dan informasi pelaksanaan kebijakan Persentase laporan monitoring dan evaluasi implementasi kebijakan,tw3,100
7,6. Penyusunan Laporan Evaluasi dan Keberlanjutan Kebijakan,Persen,"1. Laporan analisis dampak kebijakan
2. Laporan analisis/telaah keselarasan regulasi
3.  Laporan evaluasi dan rekomendasi keberlanjutan kebijakan
4. Laporan implementasi kebijakan",tw3,100
7,7. Terwujudnya Kualitas re-regulasi atau deregulasi berbagai Peraturan Perundangan-undangan dan produk hukum lainnya berdasarkan hasil reviu,Persen,"1. Terlaksananya pengumpulan data dan informasi dalam rangka Penyusunan Laporan analisis dan evaluasi Peraturan Perundang-undangan dan produk hukum lainnya
2. Terlaksananya analisis data dan informasi dalam rangka Penyusunan Laporan analisis dan evaluasi Peraturan Perundang-undangan dan produk hukum lainnya
3. Tersusunnya Laporan analisis dan evaluasi Peraturan Perundang-undangan dan produk hukum lainnya",tw3,100
7,8. Terwujudnya Database Peraturan Perundang-undangan yang lengkap dan handal,Persen,"1. Laporan pengelolaan dokumen dan informasi hukum yang lengkap dan akurat 
2. Laporan aksesbilitas terhadap dokumen dan informasi hukum
3. Laporan integrasi dan sinkronisasi dokumen hukum
4. Laporan pengembangan JDIH",tw3,100
7,9. Tersedianya Laporan Transparansi dan Partisipasi Publik,Persen,1. Penyusunan Laporan Transparansi dan 2. Partisipasi Publik (Penyuluhan Hukum),tw3,100
7,1. Tersedianya laporan penyusunan Peraturan Perundang-undangan dan produk hukum lainnya,Persen,"1. Laporan pengumpulan dan inventarisasi bahan/data dalam rangka harmonisasi Peraturan Perundang-undangan dan produk hukum lainnya
2. Laporan hasil harmonisasi Peraturan Perundang-undangan dan produk hukum lainnya
3. Laporan tersusunnya konsep dan perbaikan rancangan Peraturan Perundang-undangan dan produk hukum lainnya
4. Laporan proses pengundangan peraturan perundang-undangan",tw4,100
7,2. Tersedianya laporan pembinaan Perancang Peraturan Perundang-undangan,Persen,"1. Pengembangan kompetensi Perancang Peraturan Perundang-undangan
2. Terlaksananya identifikasi kebutuhan pembinaan dan pengembangan kompetensi Perancang",tw4,100
7,3. Penyusunan laporan tindak lanjut hasil analisis dan evaluasi Peraturan Perundang-undangan,Persen,"1.Laporan pengumpulan dan inventarisasi Peraturan Perundang-undangan yang akan dianalisis dan dievaluasi
2. Laporan pengolahan dan analisis hasil evaluasi Peraturan Perundang-undangan
3. Laporan dan/atau rekomendasi tindak lanjut hasil analisis dan evaluasi Peraturan Perundang-undangan",tw4,100
7,4. Penyusunan Laporan Perencanaan Kebijakan,Persen,"1. Laporan pengumpulan dan inventarisasi Peraturan Perundang-undangan yang akan dianalisis dan dievaluasi
2. Persentase pengumpulan data dan informasi sebagai bahan pertimbangan hukum dan penyusunan naskah urgensi kebijakan",tw4,100
7,5. Tersedianya Laporan Implementasi Kebijakan,Persen,Persentase pengumpulan data dan informasi pelaksanaan kebijakan Persentase laporan monitoring dan evaluasi implementasi kebijakan,tw4,100
7,6. Penyusunan Laporan Evaluasi dan Keberlanjutan Kebijakan,Persen,"1. Laporan analisis dampak kebijakan
2. Laporan analisis/telaah keselarasan regulasi
3.  Laporan evaluasi dan rekomendasi keberlanjutan kebijakan
4. Laporan implementasi kebijakan",tw4,100
7,7. Terwujudnya Kualitas re-regulasi atau deregulasi berbagai Peraturan Perundangan-undangan dan produk hukum lainnya berdasarkan hasil reviu,Persen,"1. Terlaksananya pengumpulan data dan informasi dalam rangka Penyusunan Laporan analisis dan evaluasi Peraturan Perundang-undangan dan produk hukum lainnya
2. Terlaksananya analisis data dan informasi dalam rangka Penyusunan Laporan analisis dan evaluasi Peraturan Perundang-undangan dan produk hukum lainnya
3. Tersusunnya Laporan analisis dan evaluasi Peraturan Perundang-undangan dan produk hukum lainnya",tw4,100
7,8. Terwujudnya Database Peraturan Perundang-undangan yang lengkap dan handal,Persen,"1. Laporan pengelolaan dokumen dan informasi hukum yang lengkap dan akurat 
2. Laporan aksesbilitas terhadap dokumen dan informasi hukum
3. Laporan integrasi dan sinkronisasi dokumen hukum
4. Laporan pengembangan JDIH",tw4,100
7,9. Tersedianya Laporan Transparansi dan Partisipasi Publik,Persen,1. Penyusunan Laporan Transparansi dan 2. Partisipasi Publik (Penyuluhan Hukum),tw4,100
8,1. Publikasi pedoman Sistem dan Mekanisme Kerja,Persen,"1. Laporan reviu sistem dan mekanisme kerja
2. Bahan Publikasi pedoman sistem dan mekanisme kerja",tw1,0
8,2. Penyusunan/Reviu Peta Proses Bisnis,Persen,"1. Penyusunan peta proses Bisnis BPS
2. Penyusunan peta subproses, peta relasi dan  peta lintas fungsi",tw1,
8,2. melakukan penyusunan revisi pedoman penyusunan SOP di lingkungan BPS,Persen,1. Persentase Penyelesaian penyusunan revisi pedoman penyusunan SOP di lingkungan BPS,tw1,0
8,1. Publikasi pedoman Sistem dan Mekanisme Kerja,Persen,"1. Laporan reviu sistem dan mekanisme kerja
2. Bahan Publikasi pedoman sistem dan mekanisme kerja",tw2,0
8,2. Penyusunan/Reviu Peta Proses Bisnis,Persen,"1. Penyusunan peta proses Bisnis BPS
2. Penyusunan peta subproses, peta relasi dan  peta lintas fungsi",tw2,
8,2. melakukan penyusunan revisi pedoman penyusunan SOP di lingkungan BPS,Persen,1. Persentase Penyelesaian penyusunan revisi pedoman penyusunan SOP di lingkungan BPS,tw2,0
8,1. Publikasi pedoman Sistem dan Mekanisme Kerja,Persen,"1. Laporan reviu sistem dan mekanisme kerja
2. Bahan Publikasi pedoman sistem dan mekanisme kerja",tw3,50
8,2. Penyusunan/Reviu Peta Proses Bisnis,Persen,"1. Penyusunan peta proses Bisnis BPS
2. Penyusunan peta subproses, peta relasi dan  peta lintas fungsi",tw3,
8,2. melakukan penyusunan revisi pedoman penyusunan SOP di lingkungan BPS,Persen,1. Persentase Penyelesaian penyusunan revisi pedoman penyusunan SOP di lingkungan BPS,tw3,50
8,1. Publikasi pedoman Sistem dan Mekanisme Kerja,Persen,"1. Laporan reviu sistem dan mekanisme kerja
2. Bahan Publikasi pedoman sistem dan mekanisme kerja",tw4,100
8,2. Penyusunan/Reviu Peta Proses Bisnis,Persen,"1. Penyusunan peta proses Bisnis BPS
2. Penyusunan peta subproses, peta relasi dan  peta lintas fungsi",tw4,
8,2. melakukan penyusunan revisi pedoman penyusunan SOP di lingkungan BPS,Persen,1. Persentase Penyelesaian penyusunan revisi pedoman penyusunan SOP di lingkungan BPS,tw4,100
9,1. Menyusun usulan penataan organisasi BPS,Persen,1. Persentase penyelesaian usulan penataan organisasi BPS dan instansi vertikal BPS,tw1,20
9,2. Menyusun usulan penataan organisasi instansi vertikal BPS,Persen,Persentase penyelesaian usulan penataan organisasi BPS dan instansi vertikal BPS,tw1,20
9,1. Menyusun usulan penataan organisasi BPS,Persen,1. Persentase penyelesaian usulan penataan organisasi BPS dan instansi vertikal BPS,tw2,60
9,2. Menyusun usulan penataan organisasi instansi vertikal BPS,Persen,Persentase penyelesaian usulan penataan organisasi BPS dan instansi vertikal BPS,tw2,60
9,1. Menyusun usulan penataan organisasi BPS,Persen,1. Persentase penyelesaian usulan penataan organisasi BPS dan instansi vertikal BPS,tw3,80
9,2. Menyusun usulan penataan organisasi instansi vertikal BPS,Persen,Persentase penyelesaian usulan penataan organisasi BPS dan instansi vertikal BPS,tw3,80
9,1. Menyusun usulan penataan organisasi BPS,Persen,1. Persentase penyelesaian usulan penataan organisasi BPS dan instansi vertikal BPS,tw4,100
9,2. Menyusun usulan penataan organisasi instansi vertikal BPS,Persen,Persentase penyelesaian usulan penataan organisasi BPS dan instansi vertikal BPS,tw4,100
10,1. Pemberkasan naskah dinas  pada aplikasi Srikandi ,Persen,Persentase pemberkasan naskah dinas pada aplikasi SRIKANDI,tw1,0.25
10,2. Keaktifan seluruh akun dalam penggunaan aplikasi SRIKANDI,Persen,Persentase keaktifan seluruh akun dalam penggunaan aplikasi SRIKANDI,tw1,0.25
10,3. Pelaksanaan alih media arsip sesuai target,Persen,Persentase pelaksanaan alih media arsip sesuai target yang ditetapkan,tw1,0.25
10,1. Pemberkasan naskah dinas  pada aplikasi Srikandi ,Persen,Persentase pemberkasan naskah dinas pada aplikasi SRIKANDI,tw2,0.5
10,2. Keaktifan seluruh akun dalam penggunaan aplikasi SRIKANDI,Persen,Persentase keaktifan seluruh akun dalam penggunaan aplikasi SRIKANDI,tw2,0.5
10,3. Pelaksanaan alih media arsip sesuai target,Persen,Persentase pelaksanaan alih media arsip sesuai target yang ditetapkan,tw2,0.5
10,1. Pemberkasan naskah dinas  pada aplikasi Srikandi ,Persen,Persentase pemberkasan naskah dinas pada aplikasi SRIKANDI,tw3,0.75
10,2. Keaktifan seluruh akun dalam penggunaan aplikasi SRIKANDI,Persen,Persentase keaktifan seluruh akun dalam penggunaan aplikasi SRIKANDI,tw3,0.75
10,3. Pelaksanaan alih media arsip sesuai target,Persen,Persentase pelaksanaan alih media arsip sesuai target yang ditetapkan,tw3,0.75
10,1. Pemberkasan naskah dinas  pada aplikasi Srikandi ,Persen,Persentase pemberkasan naskah dinas pada aplikasi SRIKANDI,tw4,1
10,2. Keaktifan seluruh akun dalam penggunaan aplikasi SRIKANDI,Persen,Persentase keaktifan seluruh akun dalam penggunaan aplikasi SRIKANDI,tw4,1
10,3. Pelaksanaan alih media arsip sesuai target,Persen,Persentase pelaksanaan alih media arsip sesuai target yang ditetapkan,tw4,1
11,"1. Pemenuhan Keterisian Formasi JF PPBJ baik melalui Pengangkatan Pertama, Perpindahan Jabatan Lainnya (PJL), maupun kenaikan Jenjang",Laporan,Jumlah laporan kegiatan Pemenuhan Keterisian Formasi JF PPBJ yang terlaksana sesuai rencana,tw1,1
11,2. Pemenuhan/Update Bukti Dukung dalam Rangka Pencapaian Kematangan UKPBJ Level 3 (Proaktif) dan PKP,Persen,Persentase Penyelesaian Pemenuhan Bukti Dukung dalam Rangka Pencapaian Kematangan UKPBJ Level 3 (Proaktif) yang diselesaikan berdasarkan hasil reviu LKPP,tw1,1
11,3. Pelaksanaan monitoring pemanfaatan Sistem Pengadaan Barang/Jasa ,Persen,Persentase kegiatan monitoring pemanfaatan sistem pengadaan yang terlaksana sesuai kebutuhan,tw1,0.4
11,4. Implementasi penyelenggaraan Clearing House Pengadaan sesuai dengan ketentuan,Dokumen,Jumlah dokumen SK Tim Clearing House yang terupdate,tw1,0
11,"1. Pemenuhan Keterisian Formasi JF PPBJ baik melalui Pengangkatan Pertama, Perpindahan Jabatan Lainnya (PJL), maupun kenaikan Jenjang",Laporan,Jumlah laporan kegiatan Pemenuhan Keterisian Formasi JF PPBJ yang terlaksana sesuai rencana,tw2,2
11,2. Pemenuhan/Update Bukti Dukung dalam Rangka Pencapaian Kematangan UKPBJ Level 3 (Proaktif) dan PKP,Persen,Persentase Penyelesaian Pemenuhan Bukti Dukung dalam Rangka Pencapaian Kematangan UKPBJ Level 3 (Proaktif) yang diselesaikan berdasarkan hasil reviu LKPP,tw2,1
11,3. Pelaksanaan monitoring pemanfaatan Sistem Pengadaan Barang/Jasa ,Persen,Persentase kegiatan monitoring pemanfaatan sistem pengadaan yang terlaksana sesuai kebutuhan,tw2,0.6
11,4. Implementasi penyelenggaraan Clearing House Pengadaan sesuai dengan ketentuan,Dokumen,Jumlah dokumen SK Tim Clearing House yang terupdate,tw2,0
11,"1. Pemenuhan Keterisian Formasi JF PPBJ baik melalui Pengangkatan Pertama, Perpindahan Jabatan Lainnya (PJL), maupun kenaikan Jenjang",Laporan,Jumlah laporan kegiatan Pemenuhan Keterisian Formasi JF PPBJ yang terlaksana sesuai rencana,tw3,3
11,2. Pemenuhan/Update Bukti Dukung dalam Rangka Pencapaian Kematangan UKPBJ Level 3 (Proaktif) dan PKP,Persen,Persentase Penyelesaian Pemenuhan Bukti Dukung dalam Rangka Pencapaian Kematangan UKPBJ Level 3 (Proaktif) yang diselesaikan berdasarkan hasil reviu LKPP,tw3,1
11,3. Pelaksanaan monitoring pemanfaatan Sistem Pengadaan Barang/Jasa ,Persen,Persentase kegiatan monitoring pemanfaatan sistem pengadaan yang terlaksana sesuai kebutuhan,tw3,0.8
11,4. Implementasi penyelenggaraan Clearing House Pengadaan sesuai dengan ketentuan,Dokumen,Jumlah dokumen SK Tim Clearing House yang terupdate,tw3,0
11,"1. Pemenuhan Keterisian Formasi JF PPBJ baik melalui Pengangkatan Pertama, Perpindahan Jabatan Lainnya (PJL), maupun kenaikan Jenjang",Laporan,Jumlah laporan kegiatan Pemenuhan Keterisian Formasi JF PPBJ yang terlaksana sesuai rencana,tw4,4
11,2. Pemenuhan/Update Bukti Dukung dalam Rangka Pencapaian Kematangan UKPBJ Level 3 (Proaktif) dan PKP,Persen,Persentase Penyelesaian Pemenuhan Bukti Dukung dalam Rangka Pencapaian Kematangan UKPBJ Level 3 (Proaktif) yang diselesaikan berdasarkan hasil reviu LKPP,tw4,1
11,3. Pelaksanaan monitoring pemanfaatan Sistem Pengadaan Barang/Jasa ,Persen,Persentase kegiatan monitoring pemanfaatan sistem pengadaan yang terlaksana sesuai kebutuhan,tw4,1
11,4. Implementasi penyelenggaraan Clearing House Pengadaan sesuai dengan ketentuan,Dokumen,Jumlah dokumen SK Tim Clearing House yang terupdate,tw4,1
12,1. Melakukan review DIPA secara periodik,Dokumen,Hasil reviu atas DIPA,tw1,1
12,2. Melakukan penyusunan rencana penarikan dana masing-masing jenis belanja,Dokumen,Tersedianya dokumen rencana penraikan dana,tw1,1
12,3. Melakukan monitoring penyerapan anggaran,Dokumen,Tersedianya dokumen monitoring realisasi anggaran,tw1,1
12,4. Melakukan monitoring belanja kontraktual dan penyelesaian tagihan,Dokumen,Tersedianya dokumen Monitoring Kontrak,tw1,1
12,"5. Melakukan koordinasi antara Bendahara, Penanggungjawab kegiatan dan PPK terkait penggunaan UP dan TUP",Kegiatan,"Terlaksananya koordinasi antara PJK, PPK, dan BPP terkait pengelolaan UP / TUP",tw1,1
12,6. Membuat Surat Edaran mengenai langkah-langkah akhir tahun anggaran ,Dokumen,Tersedianya Surat Edaran Langkah-langkah Akhir Tahun,tw1,0
12,7. Menetapkan target dan penyampaian perhitungan capaian output dengan benar dan tepat waktu ,Persentase,Persentase terlaksananya penyampaian laporan target dan capaian output,tw1,25
12,1. Melakukan review DIPA secara periodik,Dokumen,Hasil reviu atas DIPA,tw2,2
12,2. Melakukan penyusunan rencana penarikan dana masing-masing jenis belanja,Dokumen,Tersedianya dokumen rencana penraikan dana,tw2,2
12,3. Melakukan monitoring penyerapan anggaran,Dokumen,Tersedianya dokumen monitoring realisasi anggaran,tw2,2
12,4. Melakukan monitoring belanja kontraktual dan penyelesaian tagihan,Dokumen,Tersedianya dokumen Monitoring Kontrak,tw2,2
12,"5. Melakukan koordinasi antara Bendahara, Penanggungjawab kegiatan dan PPK terkait penggunaan UP dan TUP",Kegiatan,"Terlaksananya koordinasi antara PJK, PPK, dan BPP terkait pengelolaan UP / TUP",tw2,2
12,6. Membuat Surat Edaran mengenai langkah-langkah akhir tahun anggaran ,Dokumen,Tersedianya Surat Edaran Langkah-langkah Akhir Tahun,tw2,0
12,7. Menetapkan target dan penyampaian perhitungan capaian output dengan benar dan tepat waktu ,Persentase,Persentase terlaksananya penyampaian laporan target dan capaian output,tw2,50
12,1. Melakukan review DIPA secara periodik,Dokumen,Hasil reviu atas DIPA,tw3,3
12,2. Melakukan penyusunan rencana penarikan dana masing-masing jenis belanja,Dokumen,Tersedianya dokumen rencana penraikan dana,tw3,3
12,3. Melakukan monitoring penyerapan anggaran,Dokumen,Tersedianya dokumen monitoring realisasi anggaran,tw3,3
12,4. Melakukan monitoring belanja kontraktual dan penyelesaian tagihan,Dokumen,Tersedianya dokumen Monitoring Kontrak,tw3,3
12,"5. Melakukan koordinasi antara Bendahara, Penanggungjawab kegiatan dan PPK terkait penggunaan UP dan TUP",Kegiatan,"Terlaksananya koordinasi antara PJK, PPK, dan BPP terkait pengelolaan UP / TUP",tw3,3
12,6. Membuat Surat Edaran mengenai langkah-langkah akhir tahun anggaran ,Dokumen,Tersedianya Surat Edaran Langkah-langkah Akhir Tahun,tw3,0
12,7. Menetapkan target dan penyampaian perhitungan capaian output dengan benar dan tepat waktu ,Persentase,Persentase terlaksananya penyampaian laporan target dan capaian output,tw3,75
12,1. Melakukan review DIPA secara periodik,Dokumen,Hasil reviu atas DIPA,tw4,4
12,2. Melakukan penyusunan rencana penarikan dana masing-masing jenis belanja,Dokumen,Tersedianya dokumen rencana penraikan dana,tw4,4
12,3. Melakukan monitoring penyerapan anggaran,Dokumen,Tersedianya dokumen monitoring realisasi anggaran,tw4,4
12,4. Melakukan monitoring belanja kontraktual dan penyelesaian tagihan,Dokumen,Tersedianya dokumen Monitoring Kontrak,tw4,4
12,"5. Melakukan koordinasi antara Bendahara, Penanggungjawab kegiatan dan PPK terkait penggunaan UP dan TUP",Kegiatan,"Terlaksananya koordinasi antara PJK, PPK, dan BPP terkait pengelolaan UP / TUP",tw4,4
12,6. Membuat Surat Edaran mengenai langkah-langkah akhir tahun anggaran ,Dokumen,Tersedianya Surat Edaran Langkah-langkah Akhir Tahun,tw4,1
12,7. Menetapkan target dan penyampaian perhitungan capaian output dengan benar dan tepat waktu ,Persentase,Persentase terlaksananya penyampaian laporan target dan capaian output,tw4,100
13,1. Menyusun dan Mengirimkan Laporan Keuangan BPS yang sesuai dengan Standar Akuntansi Pemerintahan secara tepat waktu,Dokumen,Jumlah Laporan Keuangan BPS yang sesuai dengan standar akuntansi pemerintahan yang  tersusun dan dikirim tepat waktu,tw1,1
13,"2. Penyelesaian Menu To Do List, Rekonsiliasi, Monitoring, dan Daftar Rincian pada Aplikasi MonSAKTI tingkat Instansii pada BPS",Persentase,"Persentase Penyelesaian menu To Do List, Rekonsiliasi, Monitoring, Daftar Rincian pada MonSAKTI BPS",tw1,100
13,3. Penerapan Pengendalian Intern atas Pelaporan Keuangan (PIPK) TA 2026,Dokumen,Laporan Hasil Penilaian atas Penerapan PIPK = efektif,tw1,0
13,4. Pelaksanaan pembinaan dalam pelaporan keuangan tingkat wilayah dan satker dalam bentuk Workshop Penyusunan Laporan Keuangan,Kegiatan,Jumlah kegiatan pembinaan dalam pelaporan keuangan tingkat wilayah dan satker dalam bentuk Workshop Penyusunan Laporan Keuangan,tw1,1
13,1. Menyusun dan Mengirimkan Laporan Keuangan BPS yang sesuai dengan Standar Akuntansi Pemerintahan secara tepat waktu,Dokumen,Jumlah Laporan Keuangan BPS yang sesuai dengan standar akuntansi pemerintahan yang  tersusun dan dikirim tepat waktu,tw2,2
13,"2. Penyelesaian Menu To Do List, Rekonsiliasi, Monitoring, dan Daftar Rincian pada Aplikasi MonSAKTI tingkat Instansii pada BPS",Persentase,"Persentase Penyelesaian menu To Do List, Rekonsiliasi, Monitoring, Daftar Rincian pada MonSAKTI BPS",tw2,100
13,3. Penerapan Pengendalian Intern atas Pelaporan Keuangan (PIPK) TA 2026,Dokumen,Laporan Hasil Penilaian atas Penerapan PIPK = efektif,tw2,0
13,4. Pelaksanaan pembinaan dalam pelaporan keuangan tingkat wilayah dan satker dalam bentuk Workshop Penyusunan Laporan Keuangan,Kegiatan,Jumlah kegiatan pembinaan dalam pelaporan keuangan tingkat wilayah dan satker dalam bentuk Workshop Penyusunan Laporan Keuangan,tw2,0
13,1. Menyusun dan Mengirimkan Laporan Keuangan BPS yang sesuai dengan Standar Akuntansi Pemerintahan secara tepat waktu,Dokumen,Jumlah Laporan Keuangan BPS yang sesuai dengan standar akuntansi pemerintahan yang  tersusun dan dikirim tepat waktu,tw3,3
13,"2. Penyelesaian Menu To Do List, Rekonsiliasi, Monitoring, dan Daftar Rincian pada Aplikasi MonSAKTI tingkat Instansii pada BPS",Persentase,"Persentase Penyelesaian menu To Do List, Rekonsiliasi, Monitoring, Daftar Rincian pada MonSAKTI BPS",tw3,100
13,3. Penerapan Pengendalian Intern atas Pelaporan Keuangan (PIPK) TA 2026,Dokumen,Laporan Hasil Penilaian atas Penerapan PIPK = efektif,tw3,0
13,4. Pelaksanaan pembinaan dalam pelaporan keuangan tingkat wilayah dan satker dalam bentuk Workshop Penyusunan Laporan Keuangan,Kegiatan,Jumlah kegiatan pembinaan dalam pelaporan keuangan tingkat wilayah dan satker dalam bentuk Workshop Penyusunan Laporan Keuangan,tw3,0
13,1. Menyusun dan Mengirimkan Laporan Keuangan BPS yang sesuai dengan Standar Akuntansi Pemerintahan secara tepat waktu,Dokumen,Jumlah Laporan Keuangan BPS yang sesuai dengan standar akuntansi pemerintahan yang  tersusun dan dikirim tepat waktu,tw4,4
13,"2. Penyelesaian Menu To Do List, Rekonsiliasi, Monitoring, dan Daftar Rincian pada Aplikasi MonSAKTI tingkat Instansii pada BPS",Persentase,"Persentase Penyelesaian menu To Do List, Rekonsiliasi, Monitoring, Daftar Rincian pada MonSAKTI BPS",tw4,100
13,3. Penerapan Pengendalian Intern atas Pelaporan Keuangan (PIPK) TA 2026,Dokumen,Laporan Hasil Penilaian atas Penerapan PIPK = efektif,tw4,1
13,4. Pelaksanaan pembinaan dalam pelaporan keuangan tingkat wilayah dan satker dalam bentuk Workshop Penyusunan Laporan Keuangan,Kegiatan,Jumlah kegiatan pembinaan dalam pelaporan keuangan tingkat wilayah dan satker dalam bentuk Workshop Penyusunan Laporan Keuangan,tw4,0
14,"Dalam rangka memperoleh nilai IPA (minimal) sesuai target yang sudah ditetapkan, maka akan dilakukan beberapa hal sbb:",Presentase ,Persentase Pengelolaan BMN yang Akuntabel dan Produktif​,tw1,6.57
14,1. Optimalisasi tindak lanjut atas rekomendasi BPK,,,tw1,
14,"2. Perbaikan pengelolaan PNBP, terutama dari sisi penetapan estimasi PNBP yang berasal dari pengelolan BMN",,,tw1,
14,"3. Memenuhi kewajiban dalam hal penyampaian Laporan, baik dari sisi ketepatan waktu penyampaian maupun kelengkapan laporan",,Persentase Kepatuhan Pengelolaan BMN terhadap Peraturan Perundang-undangan,tw1,64
14,4. Monitoring Pelaksanaan proses Penghapusan dan Penetapan Status BMN,,Persentase Pengawasan dan Pengendalian yang Efektif​,tw1,23
14,5. Optimalisasi sertifikasi tanah negara yang sudah ditetapkan.,,Persentase Administrasi BMN yang Andal ​,tw1,41.59
14,"Dalam rangka memperoleh nilai IPA (minimal) sesuai target yang sudah ditetapkan, maka akan dilakukan beberapa hal sbb:",Presentase ,Persentase Pengelolaan BMN yang Akuntabel dan Produktif​,tw2,24.99
14,1. Optimalisasi tindak lanjut atas rekomendasi BPK,,,tw2,
14,"2. Perbaikan pengelolaan PNBP, terutama dari sisi penetapan estimasi PNBP yang berasal dari pengelolan BMN",,,tw2,
14,"3. Memenuhi kewajiban dalam hal penyampaian Laporan, baik dari sisi ketepatan waktu penyampaian maupun kelengkapan laporan",,Persentase Kepatuhan Pengelolaan BMN terhadap Peraturan Perundang-undangan,tw2,78
14,4. Monitoring Pelaksanaan proses Penghapusan dan Penetapan Status BMN,,Persentase Pengawasan dan Pengendalian yang Efektif​,tw2,45
14,5. Optimalisasi sertifikasi tanah negara yang sudah ditetapkan.,,Persentase Administrasi BMN yang Andal ​,tw2,60.36
14,"Dalam rangka memperoleh nilai IPA (minimal) sesuai target yang sudah ditetapkan, maka akan dilakukan beberapa hal sbb:",Presentase ,Persentase Pengelolaan BMN yang Akuntabel dan Produktif​,tw3,59.19
14,1. Optimalisasi tindak lanjut atas rekomendasi BPK,,,tw3,
14,"2. Perbaikan pengelolaan PNBP, terutama dari sisi penetapan estimasi PNBP yang berasal dari pengelolan BMN",,,tw3,
14,"3. Memenuhi kewajiban dalam hal penyampaian Laporan, baik dari sisi ketepatan waktu penyampaian maupun kelengkapan laporan",,Persentase Kepatuhan Pengelolaan BMN terhadap Peraturan Perundang-undangan,tw3,83
14,4. Monitoring Pelaksanaan proses Penghapusan dan Penetapan Status BMN,,Persentase Pengawasan dan Pengendalian yang Efektif​,tw3,75
14,5. Optimalisasi sertifikasi tanah negara yang sudah ditetapkan.,,Persentase Administrasi BMN yang Andal ​,tw3,79.15
14,"Dalam rangka memperoleh nilai IPA (minimal) sesuai target yang sudah ditetapkan, maka akan dilakukan beberapa hal sbb:",Presentase ,Persentase Pengelolaan BMN yang Akuntabel dan Produktif​,tw4,100
14,1. Optimalisasi tindak lanjut atas rekomendasi BPK,,,tw4,
14,"2. Perbaikan pengelolaan PNBP, terutama dari sisi penetapan estimasi PNBP yang berasal dari pengelolan BMN",,,tw4,
14,"3. Memenuhi kewajiban dalam hal penyampaian Laporan, baik dari sisi ketepatan waktu penyampaian maupun kelengkapan laporan",,Persentase Kepatuhan Pengelolaan BMN terhadap Peraturan Perundang-undangan,tw4,100
14,4. Monitoring Pelaksanaan proses Penghapusan dan Penetapan Status BMN,,Persentase Pengawasan dan Pengendalian yang Efektif​,tw4,100
14,5. Optimalisasi sertifikasi tanah negara yang sudah ditetapkan.,,Persentase Administrasi BMN yang Andal ​,tw4,99.63
15,1. Koordinasi dengan Kementerian PAN RB tentang pengukuran Indeks Berakhlak ,Persen,Tingkat implementasi core value Berakhlak,tw1,0
15,1. Koordinasi dengan Kementerian PAN RB tentang pengukuran Indeks Berakhlak ,Persen,Tingkat implementasi core value Berakhlak,tw2,0
15,1. Koordinasi dengan Kementerian PAN RB tentang pengukuran Indeks Berakhlak ,Persen,Tingkat implementasi core value Berakhlak,tw3,0
15,1. Koordinasi dengan Kementerian PAN RB tentang pengukuran Indeks Berakhlak ,Persen,Tingkat implementasi core value Berakhlak,tw4,100
16,"1. Melakukan assessment terhadap seluruh pegawai sesuai dengan standar kompetensi jabatan, dan penyusunan profil pegawai berdasarkan kompetensi/talenta dan diperbarui secara berkala",Persen,Persentase pegawai yang telah mengikuti asesmen kompetensi,tw1,0
16,2. Menyempurnakan serta melengkapi  penyusunan talent pool untuk seluruh  pegawai di dalam aplikasi Manajemen Talenta  berpedoman pada Peraturan Menteri  Pendayagunaan Aparatur Negara dan Reformasi Birokrasi Nomor 3 Tahun 2020 tentang Manajemen Talenta Aparatur Sipil Negara,Persen,persentase penyusunan talent pool untuk seluruh pegawai,tw1,0
